text@iau1978m	@iau1978m	190.57	192.99	и что родители сказали / ну / посмотрим как ты выступишь да?
text@iau1978m	@iau1978m	201.778	204.195	я понимаю что это основной был стимул / да
text@iau1978m	@iau1978m	204.42	205.476	ну ничего себе!
text@iau1978m	@iau1978m	205.476	212.503	то есть / и... / вы выиграли олимпиаду // и / но / родителям не пришлось тратиться потому что есть премьер министр японии для этого
text@iau1978m	@iau1978m	212.782	217.615	так / э / скажите мне пожалуйста / важный момент для нас / э / собака уже шла в этом платье?
text@iau1978m	@iau1978m	218.332	219.049	или нет?
text@iau1978m	@iau1978m	221.989	223.022	вот / кстати
text@iau1978m	@iau1978m	223.022	224.133	как? / еще раз скажите
text@iau1978m	@iau1978m	224.816	225.733	масару 
text@iau1978m	@iau1978m	225.809	231.426	мне сложно // с вами тут / говорить / у меня / две собаки // одного зовут компот / вторую груша
text@iau1978m	@iau1978m	231.783	235.849	и / там все понятно / компот означает компот / груша означает груша
text@iau1978m	@iau1978m	235.9	239.949	а масару я не понимаю / э / э / вот / это / девочка или мальчик во-первых
text@iau1978m	@iau1978m	240.204	241.62	а / собственно я по платью // #нрзб# //
text@iau1978m	@iau1978m	242.579	243.671	мог сообразить
text@iau1978m	@iau1978m	243.671	248.187	ну / на всякий случай / мало ли кто-то не понял / это девочка / масару / что означает масару на японском?
text@iau1978m	@iau1978m	256.064	256.5	о
text@iau1978m	@iau1978m	257.416	262.8	удивительное дело / да / у нас победой машины называют а в японии собак / вот / красиво
text@iau1978m	@iau1978m	262.8	271.916	так хорошо / алин / расскажите пожалуйста / эээ / платье я так понимаю что есть какое-то / ну вы не просто так / ээ / эти платья / э надеваете на масару / #нрзб# есть фотография
text@iau1978m	@iau1978m	272.226	274.833	внимание // вот такого вашего платья
text@iau1978m	@iau1978m	279.433	285.483	расскажите мне как проходит / ээ / процесс // подбора платья для масару?
text@iau1978m	@iau1978m	290.98	291.73	давайте
text@iau1978m	@iau1978m	302.741	303.366	мхм
text@iau1978m	@iau1978m	310.433	315.505	ну вы имеете в виду что на... на / на / ротвейлере странно было / выглядело такое платье да?
text@iau1978m	@iau1978m	318.377	319.293	моя дорогая
text@iau1978m	@iau1978m	321.333	323.966	такое ощущение что / лисичка курочку нашла
text@iau1978m	@iau1978m	325.666	326.466	ну пусть / мы не будем
text@iau1978m	@iau1978m	326.496	333.916	во-первых спасибо д... ну собаки м... мои-то собаки / много раз / я их / на на / на них надеваю свою одежду и они / отказываются приходить //
text@iau1978m	@iau1978m	333.923	334.816	вы выбрали...
text@iau1978m	@iau1978m	338.02	339.516	масару садись пожалуйста
text@iau1978m	@iau1978m	339.516	340.95	здравствуй / вот ты и меня увидела
text@iau1978m	@iau1978m	341.35	346.535	хорошая / ну послушная собака / но / но... но... но... / но / не... не... непросто / ее воспитывать
text@iau1978m	@iau1978m	346.552	352.25	#нрзб# / ну / ээ / масару сопровождает вас в поездках / вы берете ее с собой или как / она большая наверное / нельзя ее?
text@iau1978m	@iau1978m	363.549	367.366	на шоу са... / на са... / на / шоу собак / или на ваше шоу?
text@iau1978m	@iau1978m	367.55	368.699	на ваше шоу
text@iau1978m	@iau1978m	368.9	369.516	окей //
text@iau1978m	@iau1978m	369.522	372.733	эээ / э / бу... / собака будет смотреть / масару / простите //
